trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-125.51301085725255,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-117.88637055568466,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-89.32864566412245,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-77.70229280985316,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,10,-20.425365583853125,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-36.78674233708919,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,12,-80.05128957721277,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-185.4021041574935,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-60.67524659624233,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,5,-97.12349602031222,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,8,-77.8632754128167,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-113.21826425733475,"{0: 24, 1: 1, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-13.352504789070284,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-12.058935802316926,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-103.54575691388735,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,3.910548304286785,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,12,9.653934275472736,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,7,-33.022925626408934,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,28.45422273603146,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,-23.13929451303195,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,23,11.919713651318792,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,11.896001753343498,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,18,0.34251807353125363,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,10,30.714415551254543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,13.792967884387386,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,21.63114191983413,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,2,-30.58422792382899,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,6,28.932195520922512,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,9,21.022284741507804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,7.8842439041334655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
