trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.88, 'e': 0.9801986733067553}",25,0,-154.1204597701164,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.86, 'e': 0.9607894391523232}",20,0,-71.32513666646328,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.84, 'e': 0.9417645335842487}",20,0,-95.0596060175896,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.82, 'e': 0.9231163463866358}",30,0,-228.41272071341677,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
5,False,"{'a': 0.7999999999999999, 'e': 0.9048374180359595}",20,0,-111.1360839828197,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.7799999999999999, 'e': 0.8869204367171575}",25,0,-91.62651963125388,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.7599999999999999, 'e': 0.8693582353988059}",20,0,-74.46209254051936,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.7399999999999999, 'e': 0.8521437889662113}",25,6,-143.88471040245062,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 3}",1
9,False,"{'a': 0.7199999999999999, 'e': 0.835270211411272}",25,0,-98.97555520026455,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.6999999999999998, 'e': 0.8187307530779818}",20,0,-117.68008374767524,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.6799999999999998, 'e': 0.8025187979624785}",25,12,-47.87584979290927,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.6599999999999998, 'e': 0.7866278610665535}",30,9,-3.7884251893540477,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.6399999999999998, 'e': 0.7710515858035663}",25,9,-107.21735260365809,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.6199999999999998, 'e': 0.7557837414557255}",20,0,-74.86843348749126,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5999999999999998, 'e': 0.7408182206817179}",30,2,-92.82319904318028,"{0: 21, 1: 3, 2: 2, 3: 0, 4: 2}",1
16,False,"{'a': 0.5799999999999997, 'e': 0.7261490370736909}",35,18,-5.10047883389183,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5599999999999997, 'e': 0.7117703227626097}",30,0,-62.40407955032184,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5399999999999997, 'e': 0.697676326071031}",35,21,-43.72222836245962,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5199999999999997, 'e': 0.6838614092123558}",20,8,13.959852823849053,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.49999999999999967, 'e': 0.6703200460356393}",30,0,-157.28461067838154,"{0: 21, 1: 5, 2: 0, 3: 0, 4: 4}",0
21,False,"{'a': 0.47999999999999965, 'e': 0.6570468198150567}",25,0,-33.2282907594452,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
22,False,"{'a': 0.45999999999999963, 'e': 0.6440364210831414}",20,0,-80.49550211037828,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.4399999999999996, 'e': 0.631283645506926}",20,0,-90.53770503930306,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.4199999999999996, 'e': 0.6187833918061408}",20,0,-33.92947287851703,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.3999999999999996, 'e': 0.6065306597126334}",30,0,-159.11298966501184,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
26,False,"{'a': 0.37999999999999956, 'e': 0.5945205479701944}",25,0,-102.62851052043874,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.35999999999999954, 'e': 0.5827482523739896}",20,10,3.2196124515402564,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.3399999999999995, 'e': 0.5712090638488149}",35,4,-108.05886609785118,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 2}",1
29,False,"{'a': 0.3199999999999995, 'e': 0.559898366565402}",20,14,-3.898451794748227,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.2999999999999995, 'e': 0.5488116360940265}",30,15,2.4638348783090676,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.27999999999999947, 'e': 0.5379444375946745}",20,8,-6.081284140962665,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.25999999999999945, 'e': 0.5272924240430485}",35,9,-10.856031140531798,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.23999999999999946, 'e': 0.5168513344916992}",20,5,-61.72799973428125,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.21999999999999947, 'e': 0.5066169923655895}",20,15,-5.110308201894173,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.19999999999999948, 'e': 0.49658530379140947}",20,0,-16.281498125950502,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.19999999999999948, 'e': 0.4867522559599717}",20,0,-36.742311478852166,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.19999999999999948, 'e': 0.4771139155210344}",20,5,-38.91199128380833,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.19999999999999948, 'e': 0.46766642700990924}",25,2,-122.91516893329246,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 2}",1
39,False,"{'a': 0.19999999999999948, 'e': 0.4584060113052235}",30,0,-34.41220083197147,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.19999999999999948, 'e': 0.44932896411722156}",30,10,-62.969968958356894,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
41,False,"{'a': 0.19999999999999948, 'e': 0.44043165450599925}",20,0,6.273777608410898,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.19999999999999948, 'e': 0.43171052342907973}",20,14,12.418089889243795,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.19999999999999948, 'e': 0.4231620823177488}",20,10,-27.943211489344435,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.19999999999999948, 'e': 0.4147829116815814}",20,0,7.0944980260831185,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.19999999999999948, 'e': 0.4065696597405991}",30,18,7.496636797618057,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.19999999999999948, 'e': 0.39851904108451414}",25,3,-21.29785770224253,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.19999999999999948, 'e': 0.3906278353585211}",25,10,23.399104650164126,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.19999999999999948, 'e': 0.38289288597511206}",25,5,-27.461576793253865,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.19999999999999948, 'e': 0.37531109885139957}",30,23,14.920017299178141,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.19999999999999948, 'e': 0.36787944117144233}",35,12,-11.869205370147597,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.19999999999999948, 'e': 0.3605949401730783}",25,9,-42.15995026618282,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.19999999999999948, 'e': 0.35345468195878016}",20,11,8.35925858176286,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.19999999999999948, 'e': 0.3464558103300574}",20,0,-25.364407816299373,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.19999999999999948, 'e': 0.3395955256449391}",20,0,-11.177336521222147,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
55,False,"{'a': 0.19999999999999948, 'e': 0.33287108369807955}",25,11,15.377006898752782,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.19999999999999948, 'e': 0.32627979462303947}",25,13,-86.3571669272234,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.19999999999999948, 'e': 0.31981902181630384}",20,2,4.3317522745973855,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.19999999999999948, 'e': 0.3134861808826053}",20,4,-63.86870556995295,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.19999999999999948, 'e': 0.30727873860113125}",20,0,-66.8754143938979,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
60,False,"{'a': 0.19999999999999948, 'e': 0.30119421191220214}",30,14,-14.958096545655732,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
