trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.23985878563565,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.2256464871129,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.4861092574155,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.02866546809724,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-189.92574842018874,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-3.9247626071920774,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.25748903042211,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.36250202091742,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.34221682857515,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.68645920881399,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.9020239417576,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.93300612486054,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.02876613792313,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.6988314206203,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.7191204738852,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.4462737892641,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.31668467320991,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.06889564969256,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.013563349131758,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-269.1246100087576,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,1,-54.071469020170646,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,6,-82.14876561800172,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.43758257014156,"{0: 14, 1: 8, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,6,-60.53737535946479,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.5364548052367,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.57548577314161,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.58912502599082,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.515523192519,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.56094096379468,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.16863207112648,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
